age,total_life,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
6,7,1,1,1,1,43,0,0,0,0,1,14,0,1
5,6,1,1,1,1,43,0,0,0,0,1,14,0,1
5,6,44,1,0,1,43,0,0,0,0,1,14,0,1
5,6,44,1,0,1,43,0,0,0,0,1,14,0,1
5,5,44,1,0,1,43,0,0,0,0,1,14,0,1
6,7,30,1,0,0,1,0,0,0,0,1,2,13,1
5,6,30,1,0,0,1,0,0,0,0,1,2,13,1
5,6,30,1,0,0,1,0,0,0,0,1,2,13,1
4,5,30,1,0,0,1,0,0,0,0,1,2,13,1
4,5,30,1,0,0,1,0,0,0,0,1,2,13,1
1,2,27,10,0,0,1,0,0,0,0,0,18,27,1
0,2,27,10,0,0,1,0,0,0,0,0,18,27,1
0,1,1,1,1,0,1,0,0,0,0,0,18,27,1
0,1,12,1,0,0,1,0,0,0,0,0,18,27,1
4,4,3,1,0,0,1,0,0,0,0,0,18,27,1
3,4,3,1,0,0,1,0,0,0,0,0,14,27,1
3,4,3,1,0,0,1,0,0,0,0,0,14,27,1
5,5,1,1,1,0,1,0,0,0,0,0,1,0,1
5,6,3,1,0,0,1,0,0,0,0,1,7,3,1
4,5,3,1,0,0,1,0,0,0,0,1,7,3,1
3,4,3,1,0,0,1,0,0,0,0,1,7,3,1
2,3,1,1,1,0,1,0,0,0,0,0,0,0,1
4,6,11,11,1,1,1,0,1,1,0,1,8,16,1
3,4,11,11,1,1,1,0,1,1,0,1,8,16,1
2,4,11,11,1,1,1,0,1,1,0,1,8,15,1
6,7,1,1,1,0,1,0,0,0,0,1,10,88,1
5,6,1,1,1,0,1,0,0,0,0,1,10,90,1
4,5,1,1,1,0,1,0,0,0,0,1,10,104,1
5,6,1,1,1,0,1,0,0,0,0,0,0,0,1
4,6,1,1,1,0,1,0,0,0,0,0,0,0,1
4,6,43,1,0,0,1,0,0,0,0,0,0,0,1
19,22,11,11,1,0,5,0,0,0,1,0,6,22,1
17,20,11,1,0,0,5,0,0,0,1,1,6,22,1
17,20,11,11,1,0,5,0,0,0,1,1,6,22,1
0,2,1,3,0,0,1,0,0,0,0,0,0,65,1
0,1,4,1,0,0,1,0,0,0,0,0,0,65,1
6,7,3,1,0,0,1,0,0,0,0,0,0,65,1
5,6,3,1,0,0,1,0,0,0,0,0,0,49,1
3,4,2,1,0,0,1,0,0,0,0,0,0,3,1
2,3,2,1,0,0,1,0,0,0,0,0,0,3,1
25,26,1,1,1,0,1,0,0,0,1,0,5,22,1
24,25,1,1,1,0,1,0,0,0,1,0,5,22,1
24,25,1,45,0,0,1,0,0,0,1,0,5,22,1
24,25,1,15,0,0,1,0,0,0,1,0,5,22,1
23,24,1,45,0,0,1,0,0,0,1,0,6,24,1
1,2,9,9,0,1,3,0,0,0,0,1,101,0,1
0,1,9,1,0,1,3,0,0,0,0,1,101,0,1
0,1,9,1,0,1,3,0,0,0,0,1,101,0,1
1,1,2,1,0,1,3,0,0,0,0,1,101,0,1
1,2,2,1,0,1,3,0,0,0,0,1,101,0,1
0,1,2,1,0,1,3,0,0,0,0,0,0,0,1
0,1,2,1,0,0,3,0,0,0,0,0,0,0,1
0,1,2,1,0,0,3,0,0,0,0,0,0,0,1
1,2,2,1,0,0,3,0,0,0,0,0,0,0,1
6,7,3,3,1,0,1,0,0,0,0,1,14,126,1
6,6,1,3,0,0,1,0,0,0,0,1,14,126,1
5,6,1,1,1,0,1,0,0,0,0,1,14,126,1
5,6,1,1,1,0,1,0,0,0,0,1,14,126,1
5,5,1,1,1,0,1,0,0,0,0,1,14,126,1
4,5,1,1,1,0,1,0,0,0,0,1,14,126,1
4,5,1,1,1,0,1,0,0,0,0,1,14,126,1
4,5,1,3,0,0,1,0,0,0,0,1,4,0,1
4,5,1,3,0,0,1,0,0,0,0,1,4,0,1
4,5,1,1,1,0,1,0,0,0,0,1,4,0,1
3,4,1,1,1,0,1,0,0,0,0,1,4,0,1
2,3,1,1,1,0,1,0,0,0,0,1,4,0,1
4,5,1,1,1,0,1,0,0,0,0,1,3,4,1
4,5,1,1,1,0,1,0,0,0,0,1,3,4,1
3,4,1,1,1,0,1,0,0,0,0,1,3,6,1
0,1,2,3,0,1,3,0,1,0,0,0,2,8,1
0,1,2,1,0,1,3,0,1,0,0,0,2,8,1
1,1,1,3,0,1,3,0,1,0,0,0,2,8,1
1,2,1,10,0,1,3,0,1,0,0,0,2,8,1
0,1,1,10,0,1,3,0,1,0,0,0,2,8,1
1,1,2,1,0,1,3,0,1,0,0,0,2,8,1
1,2,2,1,0,0,3,0,1,0,0,0,2,8,1
0,1,2,10,0,0,3,0,1,0,0,0,2,8,1
0,1,2,10,0,0,3,0,1,0,0,0,2,8,1
9,10,1,1,1,0,3,0,1,0,0,0,2,8,1
7,8,3,1,0,0,11,1,0,0,0,1,6,44,1
7,7,1,1,1,0,11,1,0,0,0,1,6,44,1
7,7,1,1,1,0,11,1,0,0,0,1,6,44,1
6,7,1,1,1,0,11,1,0,0,0,0,0,0,1
4,5,1,1,1,0,1,0,0,1,0,1,5,0,1
3,4,1,1,1,0,1,0,0,1,0,1,5,0,1
2,3,1,1,1,0,1,0,0,1,0,1,5,0,1
1,2,1,1,1,0,1,0,0,1,0,0,2,0,1
5,6,3,1,0,0,1,0,1,0,0,0,3,0,1
5,5,3,1,0,0,1,0,1,0,0,0,3,0,1
4,5,3,1,0,0,1,0,1,0,0,0,3,0,1
0,1,999,17,0,1,10,0,0,0,0,0,2,14,1
0,1,999,17,0,1,10,0,0,0,0,0,2,14,1
1,1,999,1,0,1,10,0,0,0,0,1,7,47,1
0,1,999,3,0,1,10,0,0,0,0,1,7,47,1
6,7,14,3,0,0,1,0,0,0,0,0,1,23,1
5,6,14,3,0,0,1,0,0,0,0,0,1,23,1
5,6,14,3,0,0,1,0,0,0,0,0,1,23,1
4,5,14,3,0,0,1,0,0,0,0,0,1,23,1
13,14,1,1,1,0,1,0,0,0,0,1,9,10,1
11,13,1,1,1,0,1,0,0,0,0,1,11,10,1
8,9,2,3,0,0,1,0,0,0,0,1,1,0,1
7,8,2,3,0,0,1,0,0,0,0,1,1,0,1
6,7,2,3,0,0,1,0,0,0,0,1,1,0,1
11,13,1,1,1,0,1,0,0,0,1,0,2,1,1
9,11,1,1,1,0,1,0,0,0,1,1,10,12,1
8,11,1,1,1,0,1,0,0,0,1,1,10,12,1
8,9,1,1,1,0,1,0,0,0,1,1,10,12,1
3,4,1,22,0,0,1,0,0,0,0,0,0,0,1
2,3,1,1,1,0,1,0,0,0,0,0,0,0,1
2,3,1,1,1,0,1,0,0,0,0,0,0,0,1
1,2,1,1,1,0,1,0,0,0,0,0,0,0,1
8,9,1,3,0,0,1,0,0,0,0,1,9,1,1
7,8,1,3,0,0,1,0,0,0,0,1,9,1,1
6,8,1,1,1,0,1,0,0,0,0,1,9,2,1
6,8,11,1,0,0,1,0,0,0,0,1,9,2,1
6,8,999,1,0,1,1,0,0,0,0,1,8,3,1
8,9,1,1,1,1,3,0,0,0,0,1,3,60,1
8,9,1,1,1,1,3,0,0,0,0,1,3,60,1
8,9,1,1,1,0,3,0,0,0,0,1,3,60,1
7,8,9,1,0,0,3,0,0,0,0,1,3,60,1
4,6,1,1,1,0,1,0,0,0,0,0,0,0,1
0,1,4,3,0,1,1,0,0,0,0,0,0,0,1
10,11,11,1,0,0,1,0,0,0,1,1,5,73,1
10,11,11,16,0,0,1,0,0,0,1,1,5,73,1
